StoreName,Age,Gender,CountryName,City,State,TimeZone,SignUpType,SubscriptionStatus,PlanName,Industry,AlreadySelling,Revenue,CreatedDate,subdomain,StoreUrl,dasboard link,F20,Is it connected to their website,Are they active,Notes,Household Income,Marital Status,Home Owner Status,Length of Residence,Education,Occupation,Health & Wellness,Travel,Auto Parts,Kids & Babies,Nutrition,Home & Garden,Garden & Patio,Garden Supplies,Home Decor,Home Improvement,Kitchen & Dining,Pets & Supplies,Gift Buyer,Toys,Sports & Outdoors,Beauty,Mens Clothing,Shoes,Womens Clothing,Jewelry,Electronics,Computers & Software,Home Buyer,Cord Cutter,Deal Seeker,Luxury Shopper,Big Spender,Online Buyer,PostalCode,entertainment sites,Communities,Groups,Influencers
Anchor Barre,,Female,United States of America,,,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I am already selling online using a different system,50k-250k,15/3/2020 19:41,AnchorBarre,https://AnchorBarre.yondo.com,https://dashboard.yondo.com/manage?store=AnchorBarre,Fitness: workout to let go stress and anxiety and embrace healing through various forms of movement,Yes,Yes,No live 1-to-1.active using video .webinar update 4/1/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Post Acute Medical Direction, PLLC",,Male,United States of America,,,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Medical,I haven't yet started selling,0,25/11/2017 0:00,postacutecarewizard,https://postacutecarewizard.yondo.com,https://dashboard.yondo.com/manage?store=postacutecarewizard,"medical direction services  for clinics, hospital or nursing homes..",Yes,Yes,"only have 3 published videos that discusses comfort management series for nursing assistant and staff, and respiratory failure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Fit,,Male,United States of America,,,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Fitness,I am already selling online using a different system,0,17/3/2020 16:11,Studiofit,https://Studiofit.yondo.com,https://dashboard.yondo.com/manage?store=Studiofit,"Fitness - providing training for weight, cardio using dance, yoga and workout",Yes,Yes,Video library is the one that they are using..Unpublished store,,,,,,,,,,,,Interested,,,,Interested,,,,,,,,,,,,,,,,,,,,,,,
Coach Rick Strickland TV,,Male,United States of America,,,(UTC-06:00) Central Time (US & Canada),New Signup,active,Professional,Other,I haven't yet started selling,250k-1m,01ene2018 0:42:03,trainwithrsb,https://trainwithrsb.yondo.com,https://dashboard.yondo.com/manage?store=trainwithrsb,Training - science-based golf training videos,No,Yes,"Apr 4, 2020 last live 1-to-1 session.2018 last video update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davey Fisher,,Male,United States of America,,,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Fitness,I haven't yet started selling,0,27dic2018 21:30:47,DaveyFisher,https://online.daveyfisher.com,https://dashboard.yondo.com/manage?store=DaveyFisher,Offers variety of workout using online guide,Yes,Yes,provided Equipment-based full body workouts for bodyweight cardio,,,,,,,,,,Interested,,,,,,,,,,,,,,,,Interested,,,,,,Interested,,,,,,,
Ultimate Fitness & Bariatric Center,,Female,United States of America,,,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,50k-250k,28/5/2020 21:52,UFBCpartyhouse,https://UFBCpartyhouse.yondo.com,https://dashboard.yondo.com/manage?store=UFBCpartyhouse,Fitness - workout training thru zumba and exercise,Yes,Yes,with recent activities.recently uploaded videos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Castillo,,Female,United States of America,Skokie,IL,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0,25abr2020 16:58:27,a_castillochicagofitness,https://a_castillochicagofitness.yondo.com,https://dashboard.yondo.com/manage?store=a_castillochicagofitness,Fitness - Yoga session and training,Yes,Yes,6/19/2020  last video update.no live 1-to-1 sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60077-2739,,,,
Dr Catherine Oseni.,,Female,United States of America,Weatherford,TX,(UTC-06:00) Central Time (US & Canada),New Signup,active,Professional,Medical,I haven't yet started selling,0,18/9/2019 2:11,drcatherineoseni,https://drcatherineoseni.yondo.com,https://dashboard.yondo.com/manage?store=drcatherineoseni,Medical- providing webinar for building immunity and cancer therapies,Yes,Yes,Available via live 1-to-1.Doctor conducting session specializes in Integrative Cancer Therapies.Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,Male,Japan,,,"(UTC+09:00) Osaka, Sapporo, Tokyo",New Signup,active,Starter Plus,Other,"I'm already selling, just not online",0-5k,07ago2019 6:58:43,365,https://365.yondo.com/,https://dashboard.yondo.com/manage?store=365,no other details found online,No,No,lifetime plan..nothing was posted on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa ioja,,Female,United States of America,Canadensis,PA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Premium,Fitness,I am already selling online using a different system,5k-50k,22/5/2017 23:27,melissaioja,https://store.melissaioja.com,https://dashboard.yondo.com/manage?store=melissaioja,Fitness Training.,Yes,Yes,Providing training via video for workout.Unpublished Store.,,,,,,,,,,,,Interested,Interested,,Interested,,,,Interested,,,,Interested,,Interested,Interested,Interested,,,,,,,,18325-0683,,,,
Queen Bee Fundraising,,Male,United States of America,,,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Consulting,I haven't yet started selling,50k-250k,10/6/2020 22:15,QueenBeeFundraising,https://QueenBeeFundraising.yondo.com,https://dashboard.yondo.com/manage?store=QueenBeeFundraising,Consultation for non profit events and fubd raising projects,No,Yes,No recent activities.Last active 6/26/2020.Unpublished Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insanity Peru,35-44,Female,Peru,Lima,,"(UTC-05:00) Bogota, Lima, Quito",New Signup,active,Starter,Fitness,I haven't yet started selling,0,21abr2020 19:58:39,alejandraperezprieto,https://alejandraperezprieto.yondo.com,https://dashboard.yondo.com/manage?store=alejandraperezprieto,"Fitness - workout for cardio, strength, resistance",Yes,Yes,with recent activities and video downloads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreakAway Cycle & Strength: Video Class Library,45-54,Female,United States of America,Longmont,CO,(UTC-07:00) Mountain Time (US & Canada),New Signup,active,Starter,Fitness,"I'm already selling, just not online",50k-250k,02ago2020 22:26:43,Breakawaylongmont,https://Breakawaylongmont.yondo.com,https://dashboard.yondo.com/manage?store=Breakawaylongmont,cycle and strength fitness classes,No,Yes,Yondo store only has mat classes but on their website they offer video conference classes via zoom,75k-100k,Married,Own,3 Years,,Professional,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,80503-3605,,,,
Casa Yoga,,Female,United States of America,Laredo,TX,(UTC-06:00) Central Time (US & Canada),New Signup,active,Professional,Fitness,I'm just playing around,50k-250k,16/5/2020 17:21,casayoga,https://casayoga.yondo.com,https://dashboard.yondo.com/manage?store=casayoga,Fitness- training for Yoga classes,Yes,Yes,"providing packages, videos and live 1 to 1 session.Unpublished Store.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,inMarket,,,inMarket,,,,,
Movement Unlimited Inc.,35-44,Female,Canada,Fonthill,,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Medical,I am already selling online using a different system,0,13ene2018 13:05:07,movementunlimitedinc,https://videos.movementunlimitedinc.com,https://dashboard.yondo.com/manage?store=movementunlimitedinc,pole and pilates instructor,Yes,Yes,"1-1 private training sessions for pilates.videos for Yoga, Pilates and Barre.work out..webinar used for team meetings...live experience for core workouts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allyson Scott Fitness,,Female,United States of America,Seattle,WA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Fitness,"I'm already selling, just not online",5k-50k,27/2/2019 4:55,allysonscottfitness,https://www.allysonscottfitness.com,https://dashboard.yondo.com/manage?store=allysonscottfitness,"Fitness, workout and training",Yes,Yes,on-demand fitness videos providing different types of workout from different class and category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Wellness Centre,65+,Male,India,Pune,,"(UTC+08:00) Kuala Lumpur, Singapore",New Signup,active,Starter,Medical,I haven't yet started selling,0,19/10/2019 7:01,alternativewellnesscentre,https://alternativewellnesscentre.yondo.com,https://dashboard.yondo.com/manage?store=alternativewellnesscentre,naturopathic clinic,Yes,Yes,1-1 consultation for distant healing sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And 5678 Line Dance,,,United States of America,Macon,GA,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I am already selling online using a different system,5k-50k,17/3/2019 22:52,and5678linedance,https://and5678linedance.yondo.com,https://dashboard.yondo.com/manage?store=and5678linedance,"fFitness - dance exercise, Workout session and Instructional Video training",No,Yes,"LAst update Sept 2019.Status - will cancel at period end.Last live 1-to-1 session May 17, 2019.there are few activities for videos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homebodiespilates,,Female,United States of America,Morrisville,NC,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0-5k,28/5/2020 17:49,angiebrowningpilates,https://angiebrowningpilates.yondo.com,https://dashboard.yondo.com/manage?store=angiebrowningpilates,"Fitness - TOTAL BODY SCULPT, CLASSIC PILATES, YOGA, HIIT (High Intensity Interval Training), BOOTY AND ABS, UPPER BODY BLAST, CARDIO DANCE, BARRE, CARDIO BARRE, ETC",Yes,Yes,with recent activity via subscription.recent uploaded video .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jivamukti Yoga Bern,25-34,Female,Switzerland,Cham,,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",New Signup,active,Professional,Fitness,I am already selling online using a different system,250k-1m,23abr2020 16:03:33,Jivamuktiyogabern,https://Jivamuktiyogabern.yondo.com,https://dashboard.yondo.com/manage?store=Jivamuktiyogabern,Fitness offers Yoga Session Pre-/Postnatal and medication,Yes,Yes,Offers both German and English language.Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annahodz,25-34,Female,Ukraine,,,"(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",New Signup,active,Starter,Fitness,I haven't yet started selling,0,1/10/2019 12:11,annahodz,https://annahodz.com,https://dashboard.yondo.com/manage?store=annahodz,This site can’t be reached both dash and site,No,No,Unaccessible zsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HerCoreStrength,55-64,Female,France,,,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",New Signup,active,Starter,Fitness,I haven't yet started selling,0-5k,21/3/2020 14:15,HerCoreStrength,https://store.hercorestrength.com,https://dashboard.yondo.com/manage?store=HerCoreStrength,Fitness - training workout thru webinars,Yes,Yes,"Mar 22, 2020 last live 1-to-1.3/21/2020 last video update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILM Global,,Male,United States of America,Philadelphia,PA,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter Plus,Other,I haven't yet started selling,0,02ago2019 23:22:21,ilmglobal,https://ilmglobal.yondo.com,https://dashboard.yondo.com/manage?store=ilmglobal,Independent and Apolitical Non-Governmental Organization seeking to promote Education and Socio-economic activities,No,No,Lifetime plan..zero activity on the account,,Single,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma Autism Center,54-65,Female,United States of America,Oklahoma City,OK,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Consulting,I haven't yet started selling,0,10abr2020 14:01:54,autisminitiative,https://autisminitiative.yondo.com,https://dashboard.yondo.com/manage?store=autisminitiative,Consultation specilizes for supporting and handling Autism,Yes,Yes,Site connected to Yondo for Webinars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirita si asociatii,45-54,Male,Romania,Cluj,,"(UTC+02:00) Athens, Bucharest",New Signup,active,Professional,Consulting,"I'm already selling, just not online",250k-1m,27/3/2020 21:22,chr,https://online.chr-business.com,https://dashboard.yondo.com/manage?store=chr,"Providing legal advice in different field such as criminal law, commercial law and more",Yes,Yes,There would be live 1 on 12 session for each depending on the legad advice needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avega Clinic,45-54,Female,Indonesia,Surabaya,,(UTC+08:00) Perth,New Signup,active,Starter,Medical,I haven't yet started selling,0,04abr2020 12:05:51,avega,https://clinic.avega.id,https://dashboard.yondo.com/manage?store=avega,psychological clinic,Yes,Yes,1-1 coaching for psych consultation..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avid Light Modeling,45-54,Male,United States of America,Annapolis,MD,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Arts & Crafts,I am already selling online using a different system,0-5k,30abr2020 1:32:55,avid,https://avid.yondo.com,https://dashboard.yondo.com/manage?store=avid,Arts - life modeling virtual sessions,Yes,Yes,Offering Scheduled Small-Group Webinars  but the account is not yet upgraded to a plan with Group session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Woolf,,Female,United States of America,Deming,NM,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter Plus,Other,I haven't yet started selling,0,12ago2019 12:59:08,bvcx,https://bvcx.yondo.com,https://dashboard.yondo.com/manage?store=bvcx,no other details found online,No,No,account is on lifetime plan..nothing is posted or updated on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAM-JAM Fitness,45-54,Male,United States of America,Irving,TX,(UTC-06:00) Central Time (US & Canada),New Signup,active,Professional,Fitness,I haven't yet started selling,0,6/2/2020 19:58,bamjamfitness,https://bamjamfitness.yondo.com,https://dashboard.yondo.com/manage?store=bamjamfitness,"Fitness, providing online coaching, self defense and swimming sessions",Yes,Yes,Videos and sessions are available upon acquiring membership. Using equipement to provide coaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barre Lab,45-54,Female,Canada,Vernon,,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Fitness,I am already selling online using a different system,0,16/3/2020 0:00,barrelabvernon,https://on-demand.barrelab.ca,https://dashboard.yondo.com/manage?store=barrelabvernon,Fitness instructors providing workout using different variety of sessions such as Yoga cadio and more.,Yes,Yes,"No live 1 to 1 sessions, using video in providing services, there are few instructor that provided fitness routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trazka,,Male,United States of America,Glendale,AZ,"(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb",New Signup,active,Starter Plus,Other,I am already selling online using a different system,0,11ago2019 10:27:40,trazka,https://trazka.yondo.com,https://dashboard.yondo.com/manage?store=trazka,provides .domain creation services.hosting.website security.marketing.email,No,No,account is on lifetime plan..nothing is posted or updated on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFit Cardio Dance Class,35-44,Female,United States of America,West Des Moines,IO,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0,23ago2020 17:15:26,cortneebiscoe,https://cortneebiscoe.yondo.com,https://dashboard.yondo.com/manage?store=cortneebiscoe,full-body aerobic workout to Bollywood music,Yes,Yes,offers webinars and vod's for cardio work outsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lending Solutions Consulting Online Video Store,35-44,Male,United States of America,Lake Zurich,IL,(UTC-06:00) Central Time (US & Canada),New Signup,active,Professional,Consulting,"I'm already selling, just not online",1m+,24/3/2020 18:52,RexCUadvice,https://RexCUadvice.yondo.com,https://dashboard.yondo.com/manage?store=RexCUadvice, Providing digital Teaching for lending and providing approach for lending startegies,Yes,Yes,"Video Library is the one that they are using, they will have upcoming videos that they will add as products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwingTraderWeekly,,Male,United States of America,Santa Barbara,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter Plus,Other,I haven't yet started selling,0,29ago2019 18:40:17,SwingTraderWeekly,https://SwingTraderWeekly.yondo.com,https://dashboard.yondo.com/manage?store=SwingTraderWeekly,offers free educational resource discussing trade,No,No,account is under the lifetime plan..nothing is posted on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bert Kinister Videos,65+,Male,United States of America,The Villages,FL,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Professional,Other,I haven't yet started selling,0,6/7/2017 16:11,billturechek,https://videos.bertkinister.com,https://dashboard.yondo.com/manage?store=billturechek,Workout - learning Billiards and shots,Yes,Yes,Unpublished store.live 1 -to - 1 session.and videos for tutorial,,,,20+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,Bought,,Bought,,32162-8707,,,,
BMH Scheduling Primavera P6 Training,25-34,Male,United States of America,Las Vegas,NV,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Consulting,I haven't yet started selling,0,17ago2020 17:24:32,bmhscheduling,https://bmhscheduling.yondo.com,https://dashboard.yondo.com/manage?store=bmhscheduling,scheduling activities in a project plan.constructing a project schedule network diagram,No,Yes,www.bmhscheduling.com - connection not private.Next Billing: 11/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfside Wellness Centre,34-45,Female,Barbados,,,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",New Signup,active,Professional,Fitness,"I'm already selling, just not online",250k-1m,12/5/2020 15:06,SurfsideWellnessCentre,https://SurfsideWellnessCentre.yondo.com,https://dashboard.yondo.com/manage?store=SurfsideWellnessCentre,Fitness provided training workout,Yes,Yes,"provided different sessions like yoga, pilates, zumba and more, uses videos for training, no live 1 to 1 usage.Unpublished Store.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mommy Bootie Camp,34-45,Female,United States of America,Kensington,MD,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Professional,Fitness,I am already selling online using a different system,5k-50k,26/11/2018 20:16,mommybootiecamp,https://mommybootiecamp.yondo.com,https://dashboard.yondo.com/manage?store=mommybootiecamp,"Fitness designed for woman, providing workout via streaming and videos, for cardio and different types of workout to be fit.",Yes,Yes,"It's a form or exercise and dance workout at the same time, new set of workout are given each week.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitro-X Fitness,44-55,Female,United States of America,Lakeland,FL,(UTC-07:00) Mountain Time (US & Canada),New Signup,active,Starter,Fitness,"I'm already selling, just not online",5k-50k,24/7/2017 22:36,nitroxfitness,https://nitroxfitness.yondo.com,https://dashboard.yondo.com/manage?store=nitroxfitness,Fitness training for Body Strength,Yes,No,Last video update 09/07/2017.No link to visit the site in Yondo Dashboard.No recent activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33801-7068,,,,
Vegan Juju,54-65,Female,United States of America,Indianapolis,IN,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Consulting,"I'm already selling, just not online",0,17/6/2020 12:21,Veganjuju,https://Veganjuju.yondo.com,https://dashboard.yondo.com/manage?store=Veganjuju,one-on-one or group coaching and support to vegan lifestyle,No,No,No recent activities.Last active 6/17/2020.Unpublished Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VetSupport,54-65,Female,United States of America,Indianapolis,IN,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Professional,Consulting,"I'm already selling, just not online",250k-1m,17/6/2020 11:43,Vetsupport,https://Vetsupport.yondo.com,https://dashboard.yondo.com/manage?store=Vetsupport,"Providing support on how to set veterinary services.including marketing, services, pricing and all set up.",Yes,Yes,All live 1 to 1 are still unpublished.there are few videos for proving tips to handle Veterinanry services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAAAPS,44-55,Female,United States of America,Newtown Square,PA,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Consulting,I haven't yet started selling,5k-50k,1/2/2018 20:36,privatepractice,https://privatepractice.yondo.com,https://dashboard.yondo.com/manage?store=privatepractice,Business consultation and building business,Yes,Yes,Unpublished store.2018 last video update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19082-4613,,,,
Bryn Kelly RLI,44-55,Male,United States of America,Cincinnati,OH,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter Plus,Other,I haven't yet started selling,50k-250k,12ago2019 2:25:27,Bryn,https://Bryn.yondo.com,https://dashboard.yondo.com/manage?store=Bryn,"Restoring Lives International (RLI) is a faith-based, non-profit, wellness organization passionate about teaching people “God’s Kingdom Life Tools” so they can experience living whole, free, healed and empowered live",No,No,account is on the lifetime plan..account is owned by Michael & Bryn Kelly..nothing is posted on the account..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Ball Band,34-45,Female,United States of America,San Francisco,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Fitness,I am already selling online using a different system,0-5k,17/5/2020 20:18,buddyballband,https://buddyballband.yondo.com,https://dashboard.yondo.com/manage?store=buddyballband,Fitness - provided trianing and workout using Buddy Ball,No,No,5/28/2020  last video update.No recent activities.Next Biling date 11/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viab.ly,,Male,Germany,,,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",New Signup,active,Starter Plus,Medical,I haven't yet started selling,0,2/9/2019 20:32,c-janke,https://c-janke.yondo.com,https://dashboard.yondo.com/manage?store=c-janke,no other details found online,No,No,Lifetime plan..zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
